epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9545.78,0.66189,0.42215,1.10675,0.6774,0.60835,0.61212,0.35867,1.51029,1.58485,1.84469,0.000424187,0.000424187,0.000424187
43,9764.25,0.65191,0.42005,1.10099,0.66838,0.55826,0.58105,0.32591,1.58256,1.60137,1.94291,0.000417119,0.000417119,0.000417119
44,9996.99,0.6462,0.41367,1.09367,0.68084,0.62226,0.60376,0.3658,1.44762,1.5009,1.83908,0.00041005,0.00041005,0.00041005
45,10216.5,0.63673,0.40432,1.08661,0.68429,0.59583,0.60398,0.3497,1.50413,1.6548,1.83696,0.000402982,0.000402982,0.000402982
46,10421.4,0.62726,0.40004,1.07736,0.68978,0.60278,0.61224,0.35791,1.51916,1.59416,1.89124,0.000395913,0.000395913,0.000395913
47,10654.4,0.63024,0.40024,1.08201,0.67975,0.62236,0.61226,0.37335,1.41204,1.50653,1.80369,0.000388844,0.000388844,0.000388844
48,10886.8,0.62288,0.39416,1.07531,0.75428,0.64348,0.66165,0.42275,1.3754,1.34036,1.76389,0.000381776,0.000381776,0.000381776
49,11111.3,0.61432,0.39212,1.06625,0.68517,0.58052,0.57637,0.33709,1.55962,1.56805,1.92823,0.000374707,0.000374707,0.000374707
50,11344,0.60535,0.38581,1.05964,0.65701,0.61391,0.59294,0.36291,1.48848,1.55251,1.85301,0.000367639,0.000367639,0.000367639
51,11563.9,0.60209,0.37496,1.0535,0.65297,0.58852,0.55352,0.31872,1.59737,1.64157,1.98876,0.00036057,0.00036057,0.00036057
52,11796.3,0.6048,0.37913,1.0559,0.69183,0.61983,0.60297,0.35484,1.53065,1.51242,1.88708,0.000353501,0.000353501,0.000353501
53,12015.9,0.5976,0.37751,1.05474,0.69665,0.61843,0.62401,0.36723,1.49157,1.45146,1.85426,0.000346433,0.000346433,0.000346433
54,12249,0.58892,0.37148,1.04747,0.68375,0.59485,0.60601,0.33768,1.65073,1.62168,1.97982,0.000339364,0.000339364,0.000339364
55,12467.2,0.58698,0.36607,1.04405,0.71459,0.6473,0.64245,0.39543,1.45161,1.35434,1.83775,0.000332296,0.000332296,0.000332296
56,12699.9,0.57859,0.36618,1.03648,0.69587,0.60803,0.61054,0.37025,1.49213,1.46721,1.88998,0.000325227,0.000325227,0.000325227
57,12917.5,0.57148,0.35671,1.03176,0.69902,0.60974,0.60396,0.35996,1.55075,1.48993,1.93009,0.000318158,0.000318158,0.000318158
58,13150.7,0.56782,0.35743,1.03141,0.73778,0.608,0.63359,0.38349,1.45619,1.40581,1.85933,0.00031109,0.00031109,0.00031109
59,13369.3,0.56632,0.35704,1.02816,0.69325,0.62957,0.61439,0.37194,1.49229,1.44286,1.91606,0.000304021,0.000304021,0.000304021
60,13602,0.55046,0.34404,1.01434,0.67652,0.61774,0.6052,0.37065,1.48834,1.54131,1.86618,0.000296953,0.000296953,0.000296953
61,13820.9,0.56069,0.34753,1.02473,0.70649,0.62365,0.61286,0.37067,1.50731,1.46327,1.93303,0.000289884,0.000289884,0.000289884
62,14053.6,0.55014,0.34232,1.01503,0.70907,0.62991,0.6428,0.39177,1.47524,1.45302,1.89139,0.000282815,0.000282815,0.000282815
63,14272.6,0.54507,0.34087,1.00804,0.69552,0.6153,0.60208,0.36185,1.55205,1.53859,1.99347,0.000275747,0.000275747,0.000275747
64,14484,0.53989,0.33439,1.00332,0.69606,0.568,0.58447,0.33501,1.60854,1.62461,1.96721,0.000268678,0.000268678,0.000268678
65,14716.3,0.54141,0.3363,1.00509,0.69368,0.60104,0.61836,0.3607,1.58401,1.5359,1.91573,0.00026161,0.00026161,0.00026161
66,14948.4,0.53158,0.33532,0.9979,0.7071,0.62296,0.63349,0.37768,1.50959,1.50198,1.89598,0.000254541,0.000254541,0.000254541
67,15169.8,0.52363,0.32916,0.9944,0.71073,0.64209,0.64072,0.38598,1.47551,1.37262,1.8864,0.000247472,0.000247472,0.000247472
68,15402.4,0.5231,0.3288,0.98971,0.67382,0.64939,0.62797,0.3774,1.49863,1.46965,1.92429,0.000240404,0.000240404,0.000240404
69,15621.4,0.51558,0.32317,0.98746,0.68939,0.64417,0.64393,0.38596,1.52034,1.43888,1.91712,0.000233335,0.000233335,0.000233335
70,15853.3,0.51315,0.32248,0.98268,0.70795,0.65093,0.64277,0.39725,1.4582,1.37836,1.91806,0.000226267,0.000226267,0.000226267
71,16072.6,0.50846,0.31802,0.97978,0.67625,0.64445,0.62295,0.37976,1.45955,1.46823,1.88729,0.000219198,0.000219198,0.000219198
72,16305.5,0.51187,0.31729,0.98308,0.69569,0.64409,0.63256,0.38744,1.47003,1.49179,1.88103,0.000212129,0.000212129,0.000212129
