epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16306.6,0.5764,0.35769,1.05716,0.63872,0.61287,0.59408,0.32298,1.63933,1.56906,1.95468,0.000424187,0.000424187,0.000424187
43,16699.1,0.57756,0.35448,1.06038,0.66438,0.58664,0.58214,0.32794,1.62638,1.62773,1.93561,0.000417119,0.000417119,0.000417119
44,17085.4,0.56668,0.34922,1.04892,0.71642,0.62713,0.6281,0.35058,1.60868,1.56925,1.97221,0.00041005,0.00041005,0.00041005
45,17477.8,0.55721,0.34164,1.04009,0.67469,0.52835,0.54477,0.29915,1.67972,1.89261,1.95595,0.000402982,0.000402982,0.000402982
46,17870.1,0.57339,0.33962,1.04861,0.64876,0.58609,0.57146,0.31716,1.66962,1.6762,1.97351,0.000395913,0.000395913,0.000395913
47,18262.5,0.54625,0.35514,1.03304,0.66817,0.61144,0.6085,0.34743,1.5492,1.55187,1.90055,0.000388844,0.000388844,0.000388844
48,18654.9,0.5414,0.33195,1.02915,0.65352,0.56139,0.56784,0.31452,1.62834,1.70519,1.97235,0.000381776,0.000381776,0.000381776
49,19021.3,0.53531,0.32783,1.02132,0.65965,0.60874,0.57111,0.33205,1.49966,1.68501,1.86342,0.000374707,0.000374707,0.000374707
50,19413.4,0.53097,0.32174,1.0184,0.65087,0.55766,0.5458,0.30035,1.69224,1.72413,2.02898,0.000367639,0.000367639,0.000367639
51,19784.3,0.51665,0.31535,1.0042,0.58067,0.5096,0.50826,0.27648,1.71477,2.08288,2.01102,0.00036057,0.00036057,0.00036057
52,20177,0.51897,0.31862,1.00207,0.60162,0.49704,0.5066,0.27122,1.76347,1.90952,2.04965,0.000353501,0.000353501,0.000353501
53,20569.3,0.51922,0.31593,1.00857,0.65497,0.55443,0.5449,0.29957,1.72084,1.80601,2.05121,0.000346433,0.000346433,0.000346433
54,20961.7,0.5032,0.30677,0.9936,0.6505,0.57078,0.56289,0.31211,1.694,1.77654,2.03861,0.000339364,0.000339364,0.000339364
55,21353.8,0.49937,0.30335,0.99119,0.66639,0.57704,0.55747,0.32503,1.60014,1.69514,1.94654,0.000332296,0.000332296,0.000332296
56,21745.9,0.49688,0.30379,0.98852,0.65967,0.54003,0.53185,0.30678,1.66086,1.84528,2.05187,0.000325227,0.000325227,0.000325227
57,22134.6,0.48346,0.2953,0.97874,0.6416,0.55583,0.55127,0.31619,1.62001,1.75207,1.96248,0.000318158,0.000318158,0.000318158
58,22526.9,0.49194,0.29709,0.9853,0.69275,0.59757,0.61413,0.37817,1.47815,1.5675,1.85278,0.00031109,0.00031109,0.00031109
59,22919.6,0.48133,0.29309,0.97309,0.67826,0.55165,0.56055,0.30676,1.74689,1.71701,2.09758,0.000304021,0.000304021,0.000304021
60,23311.9,0.47186,0.28675,0.96614,0.64789,0.5447,0.55875,0.33961,1.54063,1.74226,1.89989,0.000296953,0.000296953,0.000296953
61,23703.4,0.46944,0.28368,0.96501,0.67009,0.5913,0.5667,0.36564,1.45106,1.52049,1.88916,0.000289884,0.000289884,0.000289884
62,24095.6,0.46302,0.28517,0.95953,0.68577,0.56104,0.56083,0.35525,1.46983,1.67248,1.91163,0.000282815,0.000282815,0.000282815
63,24488.1,0.46306,0.28201,0.95879,0.67002,0.57349,0.5821,0.34267,1.58708,1.75911,1.93816,0.000275747,0.000275747,0.000275747
64,24859.6,0.44833,0.27332,0.94888,0.67608,0.5193,0.53411,0.31061,1.59781,1.85658,1.97618,0.000268678,0.000268678,0.000268678
65,25251.9,0.44598,0.27156,0.94851,0.69903,0.53318,0.56441,0.33916,1.60327,1.74842,2.02102,0.00026161,0.00026161,0.00026161
66,25644.1,0.44424,0.27296,0.94369,0.7089,0.57043,0.59709,0.36101,1.56986,1.59531,2.01403,0.000254541,0.000254541,0.000254541
67,26036.8,0.43592,0.26706,0.9402,0.69035,0.60035,0.58883,0.37573,1.46893,1.56134,1.90695,0.000247472,0.000247472,0.000247472
68,26429.6,0.43337,0.26545,0.93501,0.7103,0.533,0.53243,0.3221,1.57188,1.86107,1.95195,0.000240404,0.000240404,0.000240404
69,26822,0.42853,0.26369,0.93411,0.71364,0.54957,0.577,0.35893,1.51413,1.73883,1.92487,0.000233335,0.000233335,0.000233335
70,27194.9,0.4263,0.26195,0.9339,0.70043,0.57578,0.58116,0.35108,1.56736,1.67556,1.97467,0.000226267,0.000226267,0.000226267
71,27576.7,0.42036,0.2585,0.9286,0.70739,0.52243,0.53183,0.31765,1.58211,1.77845,1.99563,0.000219198,0.000219198,0.000219198
72,27968.8,0.41379,0.25518,0.92472,0.70419,0.57464,0.58718,0.37404,1.49824,1.61564,1.91975,0.000212129,0.000212129,0.000212129
73,28361.2,0.40381,0.24861,0.91536,0.7165,0.5527,0.55469,0.35267,1.50552,1.7352,1.93333,0.000205061,0.000205061,0.000205061
74,28754.1,0.40527,0.25074,0.91539,0.73832,0.58295,0.59982,0.3875,1.44842,1.61042,1.88942,0.000197992,0.000197992,0.000197992
75,29146.7,0.40565,0.2491,0.91867,0.73719,0.584,0.60878,0.39868,1.44339,1.63496,1.89987,0.000190924,0.000190924,0.000190924
76,29539.7,0.3932,0.24189,0.91032,0.71915,0.57287,0.5846,0.37987,1.45148,1.66223,1.91424,0.000183855,0.000183855,0.000183855
77,29923.3,0.39144,0.24397,0.90723,0.73382,0.56959,0.60365,0.39227,1.45322,1.64902,1.91727,0.000176786,0.000176786,0.000176786
78,30316.1,0.38351,0.23828,0.90192,0.70384,0.54539,0.57125,0.36263,1.52836,1.67825,1.98511,0.000169718,0.000169718,0.000169718
79,30708.8,0.38207,0.23782,0.90042,0.69832,0.584,0.57589,0.3709,1.49963,1.6152,1.96962,0.000162649,0.000162649,0.000162649
80,31101.1,0.37525,0.23499,0.89669,0.69577,0.57635,0.56648,0.36751,1.51739,1.63503,2.01965,0.000155581,0.000155581,0.000155581
81,31471.5,0.37529,0.23388,0.89718,0.71642,0.56939,0.56913,0.36795,1.49987,1.61912,1.99284,0.000148512,0.000148512,0.000148512
82,31863.8,0.36755,0.2297,0.89597,0.74858,0.56626,0.59744,0.39322,1.45874,1.66226,1.94342,0.000141443,0.000141443,0.000141443
83,32256.1,0.36682,0.22801,0.8915,0.70873,0.56904,0.58801,0.38542,1.48825,1.67413,1.99438,0.000134375,0.000134375,0.000134375
84,32628.1,0.36047,0.22576,0.88799,0.70015,0.57496,0.57109,0.37342,1.5009,1.66918,2.0293,0.000127306,0.000127306,0.000127306
85,33020.5,0.35329,0.22234,0.88318,0.71887,0.57183,0.58664,0.38967,1.44813,1.64247,1.97844,0.000120238,0.000120238,0.000120238
86,33413.1,0.35736,0.22419,0.88341,0.73298,0.55284,0.57991,0.38825,1.46703,1.65012,2.00378,0.000113169,0.000113169,0.000113169
87,33806.2,0.34836,0.22121,0.88014,0.72041,0.56417,0.58218,0.38217,1.47564,1.64873,2.02799,0.0001061,0.0001061,0.0001061
88,34198.4,0.34523,0.21886,0.87504,0.73544,0.54609,0.57765,0.38094,1.48798,1.70173,2.00367,9.90318e-05,9.90318e-05,9.90318e-05
89,34590.8,0.34257,0.21806,0.87435,0.74618,0.5447,0.57333,0.38182,1.46811,1.67817,2.00116,9.19632e-05,9.19632e-05,9.19632e-05
90,34983.2,0.33272,0.21282,0.86835,0.70348,0.55965,0.57179,0.38031,1.45243,1.68755,1.98022,8.48946e-05,8.48946e-05,8.48946e-05
91,35372.2,0.3346,0.21329,0.87238,0.72821,0.54539,0.57446,0.38136,1.47578,1.71742,1.99185,7.7826e-05,7.7826e-05,7.7826e-05
92,35739.1,0.32882,0.21231,0.87007,0.70972,0.56765,0.58122,0.38636,1.46743,1.68932,2.00296,7.07574e-05,7.07574e-05,7.07574e-05
93,36131,0.32598,0.20973,0.86662,0.7259,0.55896,0.592,0.39481,1.45958,1.67263,1.98455,6.36888e-05,6.36888e-05,6.36888e-05
94,36523.3,0.32122,0.20825,0.86479,0.72342,0.55826,0.58268,0.39062,1.4594,1.64437,2.01412,5.66202e-05,5.66202e-05,5.66202e-05
95,36916.5,0.31671,0.20626,0.86163,0.71053,0.55408,0.56755,0.37685,1.47144,1.70525,2.02171,4.95516e-05,4.95516e-05,4.95516e-05
96,37309.4,0.31545,0.20514,0.86223,0.7162,0.54539,0.57387,0.37991,1.48422,1.72848,2.02438,4.2483e-05,4.2483e-05,4.2483e-05
97,37678.1,0.31309,0.20497,0.85971,0.7109,0.56313,0.59002,0.39347,1.46533,1.69572,2.0126,3.54144e-05,3.54144e-05,3.54144e-05
98,38070.4,0.30734,0.20075,0.85471,0.69377,0.57446,0.59244,0.39405,1.46822,1.69704,2.02464,2.83458e-05,2.83458e-05,2.83458e-05
99,38462.6,0.30163,0.1989,0.8541,0.70004,0.57704,0.59857,0.40039,1.46645,1.66358,2.02517,2.12772e-05,2.12772e-05,2.12772e-05
100,38855.6,0.2991,0.19827,0.85212,0.73091,0.55061,0.59031,0.39338,1.47837,1.68033,2.03562,1.42086e-05,1.42086e-05,1.42086e-05
