epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28047.6,0.56028,0.34661,1.09797,0.65382,0.63311,0.63956,0.38702,1.52922,1.34045,2.27819,0.000305813,0.000305813,0.000305813
43,28715.5,0.54537,0.33637,1.0857,0.65493,0.64989,0.63489,0.39152,1.53133,1.42369,2.33302,0.000295857,0.000295857,0.000295857
44,29383,0.55065,0.33698,1.09259,0.57652,0.58935,0.54428,0.31731,1.74585,1.6858,2.48906,0.000285902,0.000285902,0.000285902
45,30050.3,0.52886,0.32507,1.06945,0.65105,0.57039,0.57869,0.32848,1.73748,1.59284,2.41716,0.000275946,0.000275946,0.000275946
46,30717.8,0.52757,0.31891,1.06455,0.65466,0.60977,0.62247,0.37465,1.54521,1.45435,2.28166,0.00026599,0.00026599,0.00026599
47,31386.1,0.51421,0.31108,1.05389,0.63323,0.6178,0.58079,0.33271,1.71066,1.63907,2.43246,0.000256034,0.000256034,0.000256034
48,32054.4,0.5029,0.30944,1.04406,0.55488,0.57039,0.53166,0.28947,1.8582,1.76439,2.60006,0.000246079,0.000246079,0.000246079
49,32721.8,0.49824,0.30526,1.03776,0.67976,0.60847,0.62474,0.37843,1.54026,1.58364,2.29112,0.000236123,0.000236123,0.000236123
50,33389.4,0.48718,0.29574,1.02726,0.64798,0.5857,0.59728,0.3548,1.62892,1.63936,2.41077,0.000226167,0.000226167,0.000226167
51,34057,0.4853,0.29308,1.02814,0.65311,0.63093,0.62664,0.37152,1.66611,1.51774,2.44298,0.000216211,0.000216211,0.000216211
52,34724.7,0.48998,0.29787,1.0348,0.63584,0.65573,0.62959,0.38324,1.62609,1.42993,2.45085,0.000206255,0.000206255,0.000206255
53,35392.7,0.46359,0.28088,1.00747,0.70355,0.59519,0.64415,0.38361,1.63823,1.5341,2.40215,0.0001963,0.0001963,0.0001963
54,36060.9,0.4573,0.27688,0.999,0.64111,0.60759,0.61545,0.34318,1.77232,1.60021,2.59425,0.000186344,0.000186344,0.000186344
55,36728.7,0.45593,0.27826,1.00273,0.66993,0.63603,0.63882,0.38821,1.60622,1.43248,2.43204,0.000176388,0.000176388,0.000176388
56,37396.2,0.45602,0.27211,1.00099,0.70313,0.56663,0.62293,0.37432,1.66511,1.5704,2.50825,0.000166432,0.000166432,0.000166432
57,38063.8,0.44248,0.26684,0.98641,0.67517,0.60904,0.62058,0.37445,1.6745,1.50385,2.48724,0.000156477,0.000156477,0.000156477
58,38731.6,0.42985,0.25954,0.97134,0.73366,0.57914,0.6434,0.40607,1.61254,1.54197,2.38092,0.000146521,0.000146521,0.000146521
59,39399.7,0.42327,0.2556,0.97186,0.68002,0.56424,0.60594,0.35443,1.74428,1.64172,2.51411,0.000136565,0.000136565,0.000136565
60,40067.6,0.41482,0.25213,0.96253,0.67426,0.59519,0.62319,0.3798,1.61169,1.60269,2.42654,0.000126609,0.000126609,0.000126609
61,40735.7,0.41419,0.24966,0.96604,0.68694,0.60686,0.63301,0.38758,1.67778,1.54682,2.48284,0.000116654,0.000116654,0.000116654
62,41403.2,0.40107,0.24361,0.95064,0.69486,0.61926,0.63542,0.40161,1.62828,1.50559,2.4748,0.000106698,0.000106698,0.000106698
63,42070.9,0.39294,0.24007,0.94647,0.68376,0.58352,0.62395,0.38611,1.70173,1.6141,2.54233,9.6742e-05,9.6742e-05,9.6742e-05
64,42738.7,0.39319,0.23738,0.94406,0.67902,0.6388,0.64541,0.40021,1.66477,1.49292,2.53881,8.67862e-05,8.67862e-05,8.67862e-05
65,43406.3,0.38013,0.23137,0.93689,0.66526,0.62874,0.64268,0.40819,1.63018,1.5409,2.52185,7.68304e-05,7.68304e-05,7.68304e-05
66,44074.5,0.37467,0.2277,0.93484,0.677,0.58859,0.60303,0.36132,1.75385,1.64498,2.63858,6.68746e-05,6.68746e-05,6.68746e-05
67,44742.5,0.37569,0.22874,0.93183,0.67946,0.6105,0.62987,0.39178,1.69224,1.54342,2.59081,5.69189e-05,5.69189e-05,5.69189e-05
68,45410.6,0.36452,0.22248,0.92388,0.65211,0.61999,0.63009,0.39446,1.67639,1.54693,2.56405,4.69631e-05,4.69631e-05,4.69631e-05
69,46078.4,0.35869,0.22083,0.91955,0.65341,0.63803,0.64025,0.39854,1.66987,1.55881,2.5808,3.70073e-05,3.70073e-05,3.70073e-05
70,46746.5,0.34867,0.21707,0.91557,0.67421,0.61889,0.63172,0.38972,1.69604,1.59463,2.58416,2.70515e-05,2.70515e-05,2.70515e-05
71,46818.3,0.3259,0.20544,0.8867,0.67141,0.62874,0.63247,0.39207,1.69176,1.58544,2.57649,1.70958e-05,1.70958e-05,1.70958e-05
